building_room,case_number,slot_number,equipment_type,asset_tag,clean_asset_tag,serial_number,mac_address,manufacturer,model,model_code,case_helper,slot_helper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-19,Laptop,DDC4CY-002577,DDC4CY002577,JDMH014,10-98-19-4A-51-4A,Dell,Precision 7680,2250,1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-20,Laptop,DDC4CY-002544,DDC4CY002544,G2NH014,10-98-19-4A-51-EB,Dell,Precision 7680,2250,1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-21,Laptop,DDC4CY-002549,DDC4CY002549,63NH014,10-98-19-4A-51-1B,Dell,Precision 7680,2250,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-22,Laptop,DDC4CY-002634,DDC4CY002634,BYMH014,10-98-19-4A-51-DB,Dell,Precision 7680,2250,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-23,Laptop,DDC4CY-002673,DDC4CY002673,2GLH014,10-98-19-4A-66-E6,Dell,Precision 7680,2250,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-24,Laptop,DDC4CY-002559,DDC4CY002559,BFMH014,10-98-19-4A-52-CC,Dell,Precision 7680,2250,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-25,Laptop,DDC4CY-002561,DDC4CY002561,8FMH014,10-98-19-4A-65-3D,Dell,Precision 7680,2250,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-26,Laptop,DDC4CY-002554,DDC4CY002554,80NH014,10-98-19-4A-51-A9,Dell,Precision 7680,2250,1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-27,Laptop,DDC4CY-002576,DDC4CY002576,4CMH014,10-98-19-4A-52-33,Dell,Precision 7680,2250,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,1,1-28,Laptop,DDC4CY-002662,DDC4CY002662,C0MH014,10-98-19-4A-66-4F,Dell,Precision 7680,2250,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
